RUN,CAR_TYPE,HAS_PARKED,A,B,C,D,E,F,G,H,I,J,K
[9],['B'],[False],[145.30621811551185],[167.74857725512786],[214.34211106510614],[219.2193601931691],[223.1124046998303],[228.62399009554161],[291.40051278166504],[294.4924335270546],[294.4924335270546],[302.03191952066715],[324.4742786602831]
[9],['B'],[False],[117.21998565624743],[145.15284019279142],[202.6278764820593],[208.1035181691507],[211.06445585531196],[218.3695548066315],[291.83668027314616],[295.68866373157107],[295.68866373157107],[300.71926836294546],[328.6521228994894]
[9],['B'],[False],[124.9344437718441],[141.64926035802995],[200.94204821266067],[206.66368860134153],[209.03776941932605],[223.97967606208022],[305.1219592738838],[308.4524774289589],[308.4524774289589],[312.99382405254636],[329.7086406387322]
[9],['B'],[False],[92.13914787158825],[116.2600356103357],[171.37891040243767],[176.71203827448142],[179.30071378417287],[186.9528493522329],[306.34577188104424],[309.39609305068007],[309.39609305068007],[316.14593623097886],[340.2668239697263]
[9],['B'],[False],[156.03602947267748],[181.5897825628467],[219.2193601931691],[224.82383424510348],[228.49839172732663],[238.56630296325977],[315.9398611628696],[319.1239205026611],[319.1239205026611],[323.82709648358264],[349.38084957375185]
[9],['B'],[False],[126.59896504798574],[146.68760314483262],[206.66368860134153],[212.74472731322203],[215.58603139897534],[222.21052406621536],[322.63600399303624],[325.06758705964774],[325.06758705964774],[332.0533123668512],[352.1419504636981]
[9],['B'],[True],[86.42264380998603],[113.78542042074179],[165.14572047512794],[169.50100521290358],[172.33691312871156],[172.33691312871156],[334.29329765955765],[336.49814113411304],[336.49814113411304],[342.66052996665127],[370.023306577407]
[9],['B'],[False],[264.4449948899965],[284.7142212888786],[284.7142212888786],[290.4059802396469],[293.22011706731314],[301.9741847679414],[365.5568694999511],[368.0938662401693],[368.0938662401693],[373.07806123467697],[393.34728763355906]
[9],['B'],[False],[151.73277563979366],[177.07602743619503],[217.61903733238864],[222.6813163748828],[225.48034187836907],[233.6757442745326],[359.4302665849511],[362.1620826360483],[362.1620826360483],[368.43298403408556],[393.77623583048694]
[9],['B'],[True],[185.36831877810488],[199.8360699673937],[224.82383424510348],[229.9966481132594],[232.84726955722502],[232.84726955722502],[376.3285695859156],[379.79166069948155],[379.79166069948155],[384.36590032473595],[398.8336515140248]
[9],['B'],[False],[231.92333793487742],[251.23447014885474],[251.23447014885474],[255.538742190644],[258.2555564507964],[265.914948607516],[379.22868191154294],[382.217491241161],[382.217491241161],[388.05375692728904],[407.36488914126636]
[9],['B'],[False],[174.04638284685444],[178.4900756401719],[218.66896748892984],[224.4550845152085],[227.42587413682597],[234.39839479199458],[408.54478920345747],[411.66057488712886],[411.66057488712886],[416.3207294478951],[420.76442224121257]
[9],['B'],[True],[96.5747765045166],[113.75021239824156],[164.66280120756716],[169.88076594941234],[172.26708900924103],[172.26708900924103],[410.0376268345035],[413.248327439784],[413.248327439784],[420.0499178290463],[437.2253537227713]
[9],['B'],[False],[103.86472767465808],[123.11784349798074],[188.6928445496424],[195.76604194424286],[199.0394530018646],[206.7803601203636],[461.3605843334501],[464.5146875796538],[464.5146875796538],[471.14570232638926],[490.39881814971193]
